,WORD,MEANINGS,SIMILAR WORDS,OTHERS,OTHERS
,-(으)ㄴ/는 것 같다,"Chỉ sự suy đoán, phỏng đoán => Có vẻ, dường như","-(으)ㄴ/는 듯하다
-나보다
-(으)ㄴ/는 모양이다",-(으)ㄴ/는 것 같다,"Chỉ sự suy đoán, phỏng đoán => Có vẻ, dường như
-----
-(으)ㄴ/는 듯하다
-나보다
-(으)ㄴ/는 모양이다"
,-(으)ㄹ 정도로,Chỉ mức độ => Đến mức/nỗi mà,"-(으)ㄹ 만큼
-(으)ㄹ 지경으로",-(으)ㄹ 정도로,"Chỉ mức độ => Đến mức/nỗi mà
-----
-(으)ㄹ 만큼
-(으)ㄹ 지경으로"
,-기/게 마련이다,Chỉ điều gì đó là đương nhiên =>...là điều đương nhiên,"-는 법이다
-게 되어 있다",-기/게 마련이다,"Chỉ điều gì đó là đương nhiên =>...là điều đương nhiên
-----
-는 법이다
-게 되어 있다"
,-(으)ㄹ 수밖에 없다,Chỉ sự lựa chọn duy nhất => Không còn cách nào khác phải,"-아/어야 할 뿐이다
-지 않을 수 없다",-(으)ㄹ 수밖에 없다,"Chỉ sự lựa chọn duy nhất => Không còn cách nào khác phải
-----
-아/어야 할 뿐이다
-지 않을 수 없다"
,-(으)ㄹ 뿐이다.,"Giới hạn đối tượng hay hành động trước đó=> Chi N, chi V",-(으)ㄹ 따름이다,-(으)ㄹ 뿐이다.,"Giới hạn đối tượng hay hành động trước đó=> Chi N, chi V
-----
-(으)ㄹ 따름이다"
,-(으)ㄹ 뿐만 아니라,Dùng khi bổ thêm sung thêm ý nghĩa cho vế trước => Không những....mà còn,"-은/ㄴ데다가
-(으)ㄹ 뿐더러",-(으)ㄹ 뿐만 아니라,"Dùng khi bổ thêm sung thêm ý nghĩa cho vế trước => Không những....mà còn
-----
-은/ㄴ데다가
-(으)ㄹ 뿐더러"
,-는 바람에,"Chỉ nguyên nhân/lý do mang tính tiêu cực=> Tại, do V","-느라고
-은/는 탓에
-는 통에",-는 바람에,"Chỉ nguyên nhân/lý do mang tính tiêu cực=> Tại, do V
-----
-느라고
-은/는 탓에
-는 통에"
,-(으)ㄹ까 봐서,"Chỉ sự lo lắng, e ngại về một điều không tốt xảy ra => E là, sợ là","-(으)ㄹ 것 같아서
-(으)ㄹ 세라",-(으)ㄹ까 봐서,"Chỉ sự lo lắng, e ngại về một điều không tốt xảy ra => E là, sợ là
-----
-(으)ㄹ 것 같아서
-(으)ㄹ 세라"
,-자마자,"Chỉ trình tự hành động, ngay sau khi làm gì đó => Ngay sau khi V thì","-는대로
-기가 무섭게
-기가 바쁘게",-자마자,"Chỉ trình tự hành động, ngay sau khi làm gì đó => Ngay sau khi V thì
-----
-는대로
-기가 무섭게
-기가 바쁘게"
,-(으)ㄴ/는 셈이다,"Chỉ sự phán đoán => Có vẻ, dường như ...","-(으)ㄴ거나 같다
-(으)ㄴ 거나 마찬가지이다
-(으)ㄴ 거나 다름없다 -아/어 봐야",-(으)ㄴ/는 셈이다,"Chỉ sự phán đoán => Có vẻ, dường như ...
-----
-(으)ㄴ거나 같다
-(으)ㄴ 거나 마찬가지이다
-(으)ㄴ 거나 다름없다 -아/어 봐야"
,-(으)나 마나,Chỉ việc dù có lựa chọn như nào cũng vô ích,"-아/어 봐도
-ㄴ다고 해도
-아/어봤자",-(으)나 마나,"Chỉ việc dù có lựa chọn như nào cũng vô ích
-----
-아/어 봐도
-ㄴ다고 해도
-아/어봤자"
,-게,Chỉ mục đích (nhấn mạnh vào mục đích) => Để V,-도록,-게,"Chỉ mục đích (nhấn mạnh vào mục đích) => Để V
-----
-도록"
